Tabla  CONCENTRADOHOGAR,,,,,
,,,,,
#,Variable,Descripción,Tipo,Categorías,
89,atenc_ambu,Gasto en atención primaria o ambulatoria.,"N (12,2)",,
90,hospital,"Gasto en atención hospitalaria, servicios médicos y medicamentos durante el embarazo y parto, aparatos ortopédicos, terapéuticos y seguros médicos.","N (12,2)",,
91,medicinas,Gasto en medicamentos sin receta.,"N (12,2)",,
92,transporte,"Gasto en transporte; adquisición, mantenimiento, accesorios y servicios para vehículos; comunicaciones.","N (12,2)",,
93,publico,Gasto en transporte público.,"N (12,2)",,
94,foraneo,Gasto en transporte foráneo.,"N (12,2)",,
95,adqui_vehi,Gasto en adquisición de vehículos de uso particular.,"N (12,2)",,
96,mantenim,"Gasto en refacciones, partes, accesorios, mantenimiento, combustibles y servicio para vehículos.","N (12,2)",,
97,refaccion,"Gasto en refacciones, accesorios y servicios para vehículos de uso particular.","N (12,2)",,
98,combus,"Gasto en combustibles, aceites, reparaciones de llantas, pensiones y otros servicios para vehículos de uso particular.","N (12,2)",,
99,comunica,Gasto en comunicaciones.,"N (12,2)",,
100,educa_espa,"Gasto en servicios de educación, artículos educativos, artículos de esparcimiento y otros gastos esparcimiento.","N (12,2)",,
101,educacion,Gasto en artículos y servicios de educación.,"N (12,2)",,
102,esparci,Gasto en artículos y servicios de esparcimiento.,"N (12,2)",,
103,paq_turist,"Gasto en paquetes turísticos y para fiestas, hospedaje y alojamiento.","N (12,2)",,
104,personales,"Cuidados personales, accesorios y efectos personales y otros gastos diversos","N (12,2)",,
105,cuida_pers,Gasto en cuidados personales.,"N (12,2)",,
106,acces_pers,Gasto en accesorios y efectos personales.,"N (12,2)",,
107,otros_gas,Otros gastos diversos.,"N (12,2)",,
108,transf_gas,Transferencias de gasto.,"N (12,2)",,
109,percep_tot,"Percepciones financieras y de capital totales, son la suma de cada una de las percepciones que reciben los integrantes del hogar que se derivan de movimientos en el valor de sus activos.","N (12,2)",,
110,retiro_inv,"Retiro de inversiones, ahorros, tandas, cajas de ahorro, etcétera.","N (12,2)",,
111,prestamos,Préstamos recibidos de personas ajenas al hogar o instituciones.,"N (12,2)",,
112,otras_perc,Otras percepciones financieras y de capital.,"N (12,2)",,
113,ero_nm_viv,Erogaciones en especie patrimoniales y para vivienda propia.,"N (12,2)",,
114,ero_nm_hog,"Transferencias en especie no regulares, provenientes de otros hogares.","N (12,2)",,
115,erogac_tot,"Erogaciones financieras y de capital totales, se componen de la sumatoria de las erogaciones financieras y de capital monetarias y no monetarias que realizan los integrantes del hogar en un lapso determinado.","N (12,2)",,
116,cuota_viv,Cuota pagada por la vivienda propia.,"N (12,2)",,
117,mater_serv,"Gasto en servicios y materiales para reparación, mantenimiento y/o ampliación de la vivienda.","N (12,2)",,
118,material,"Materiales para reparación, mantenimiento y/o ampliación de la vivienda","N (12,2)",,
119,servicio,"Gasto en servicios de reparación, mantenimiento y/o ampliación de la vivienda.","N (12,2)",,
120,deposito,"Depósitos en cuentas de ahorros, tandas, cajas de ahorro, etcétera.","N (12,2)",,
121,prest_terc,Préstamos a terceros.,"N (12,2)",,
122,pago_tarje,Pago por tarjeta de crédito al banco o casa comercial.,"N (12,2)",,
123,deudas,Pago de deudas de los miembros del hogar a la empresa donde trabajan y/o a otras personas o instituciones.,"N (12,2)",,
124,balance,Pérdidas en los negocios del hogar.,"N (12,2)",,
125,otras_erog,Otras erogaciones financieras y de capital.,"N (12,2)",,
126,smg,Salario mínimo general trimestralizado.,"N (6,2)",,
